,지번주소,도로명,건물(단지)명,전용면적(㎡),거래금액(만원),층,건축년도,계약날짜기준_건물연식,계약날짜,단가(만원/㎡),건물연식,부동산유형,소유자
1885,서울특별시 강남구 역삼동 707-9,언주로90길 26,(707-9),22.15,37245,12,2020.0,0.0,2020-12-09,1681.489841986456,1.0,오피스텔,LH
1886,서울특별시 강남구 역삼동 707-9,언주로90길 26,(707-9),22.15,36503,2,2020.0,0.0,2020-12-09,1647.9909706546275,1.0,오피스텔,LH
1887,서울특별시 강남구 역삼동 707-9,언주로90길 26,(707-9),22.15,36503,3,2020.0,0.0,2020-12-09,1647.9909706546275,1.0,오피스텔,LH
1888,서울특별시 강남구 역삼동 707-9,언주로90길 26,(707-9),22.15,36503,3,2020.0,0.0,2020-12-09,1647.9909706546275,1.0,오피스텔,LH
1889,서울특별시 강남구 역삼동 707-9,언주로90길 26,(707-9),22.15,36503,2,2020.0,0.0,2020-12-09,1647.9909706546275,1.0,오피스텔,LH
1890,서울특별시 강남구 역삼동 707-9,언주로90길 26,(707-9),22.15,37567,10,2020.0,0.0,2020-12-09,1696.0270880361174,1.0,오피스텔,LH
1891,서울특별시 강남구 역삼동 707-9,언주로90길 26,(707-9),22.15,36927,8,2020.0,0.0,2020-12-09,1667.133182844244,1.0,오피스텔,LH
1892,서울특별시 강남구 역삼동 707-9,언주로90길 26,(707-9),22.15,36927,8,2020.0,0.0,2020-12-09,1667.133182844244,1.0,오피스텔,LH
1893,서울특별시 강남구 역삼동 707-9,언주로90길 26,(707-9),22.15,36927,9,2020.0,0.0,2020-12-09,1667.133182844244,1.0,오피스텔,LH
1894,서울특별시 강남구 역삼동 707-9,언주로90길 26,(707-9),22.15,36927,9,2020.0,0.0,2020-12-09,1667.133182844244,1.0,오피스텔,LH
1895,서울특별시 강남구 역삼동 707-9,언주로90길 26,(707-9),22.15,36503,5,2020.0,0.0,2020-12-09,1647.9909706546275,1.0,오피스텔,LH
1896,서울특별시 강남구 역삼동 707-9,언주로90길 26,(707-9),22.15,36503,4,2020.0,0.0,2020-12-09,1647.9909706546275,1.0,오피스텔,LH
1897,서울특별시 강남구 역삼동 707-9,언주로90길 26,(707-9),22.15,36503,4,2020.0,0.0,2020-12-09,1647.9909706546275,1.0,오피스텔,LH
1898,서울특별시 강남구 역삼동 707-9,언주로90길 26,(707-9),22.15,36503,5,2020.0,0.0,2020-12-09,1647.9909706546275,1.0,오피스텔,LH
1899,서울특별시 강남구 역삼동 707-9,언주로90길 26,(707-9),22.15,36503,6,2020.0,0.0,2020-12-09,1647.9909706546275,1.0,오피스텔,LH
1900,서울특별시 강남구 역삼동 707-9,언주로90길 26,(707-9),22.15,36503,6,2020.0,0.0,2020-12-09,1647.9909706546275,1.0,오피스텔,LH
1901,서울특별시 강남구 역삼동 707-9,언주로90길 26,(707-9),22.15,36927,7,2020.0,0.0,2020-12-09,1667.133182844244,1.0,오피스텔,LH
1902,서울특별시 강남구 역삼동 707-9,언주로90길 26,(707-9),22.15,37567,10,2020.0,0.0,2020-12-09,1696.0270880361174,1.0,오피스텔,LH
1903,서울특별시 강남구 역삼동 707-9,언주로90길 26,(707-9),22.15,36927,7,2020.0,0.0,2020-12-09,1667.133182844244,1.0,오피스텔,LH
